session_idx,pupil_x,pupil_y,scene_target_x,scene_target_y
13,369.000,235.000,1615.750,437.878
13,273.000,237.000,524.858,703.646
13,296.000,236.000,768.860,681.391
13,321.000,238.000,1030.294,659.702
13,362.000,246.000,1527.635,645.991
13,267.000,251.000,469.115,916.897
13,291.000,251.000,722.077,898.078
13,316.000,252.000,987.856,880.380
13,340.000,255.000,1252.371,867.339
13,360.000,259.000,1501.059,858.223
13,288.000,224.000,686.265,493.735
13,340.000,240.000,1252.181,642.943
14,265.000,214.000,433.332,345.588
14,296.000,213.000,775.408,324.109
14,325.000,217.000,1110.750,319.887
14,353.000,222.000,1451.971,295.332
14,263.000,229.000,426.643,601.252
14,294.000,229.000,761.687,585.211
14,324.000,232.000,1088.198,565.662
14,352.000,237.000,1420.820,544.503
14,264.000,246.000,430.276,841.407
14,294.000,247.000,749.966,832.516
14,322.000,248.000,1068.823,815.210
14,350.000,251.000,1389.645,792.846
15,268.000,211.000,481.767,297.362
15,291.000,210.000,735.002,282.915
15,314.000,212.000,995.007,274.775
15,358.000,221.000,1530.694,241.102
15,266.000,221.000,461.021,459.569
15,290.000,221.000,721.391,449.451
15,314.000,222.000,981.199,435.681
15,336.000,225.000,1237.420,422.527
15,357.000,230.000,1508.175,415.916
15,266.000,232.000,475.941,635.933
15,290.000,232.000,723.953,624.394
15,315.000,234.000,991.541,626.317
15,335.000,237.000,1236.886,615.276
15,266.000,244.000,479.314,817.366
15,289.000,245.000,722.247,815.336
15,313.000,247.000,983.015,812.376
15,334.000,249.000,1222.721,799.049
15,355.000,253.000,1480.387,788.737
15,335.000,216.000,1225.157,273.856
15,355.000,243.000,1479.360,625.384
16,273.000,211.000,499.682,310.950
16,303.000,212.000,832.075,320.971
16,334.000,217.000,1192.596,322.299
16,360.000,224.000,1551.985,329.093
16,268.000,226.000,474.708,577.822
16,301.000,229.000,833.238,588.347
16,331.000,233.000,1187.022,599.646
16,361.000,241.000,1569.349,595.965
16,267.000,246.000,475.962,883.732
16,300.000,247.000,841.553,876.936
16,331.000,251.000,1200.839,876.485
16,360.000,257.000,1578.496,869.423
17,267.000,207.000,447.267,240.210
17,295.000,208.000,768.839,257.275
17,322.000,211.000,1069.878,253.867
17,345.000,216.000,1380.879,248.199
17,368.000,223.000,1702.952,240.966
17,267.000,219.000,472.576,476.573
17,294.000,219.000,770.679,464.638
17,321.000,223.000,1070.305,474.927
17,345.000,227.000,1362.012,473.739
17,366.000,233.000,1664.795,471.487
17,265.000,233.000,455.361,706.055
17,292.000,233.000,752.545,701.381
17,318.000,235.000,1045.011,695.590
17,342.000,241.000,1346.194,712.321
17,267.000,246.000,489.081,907.078
17,293.000,247.000,774.685,906.352
17,318.000,248.000,1072.418,875.499
17,342.500,252.000,1365.113,873.336
17,366.000,246.000,1680.113,687.227
17,366.000,260.000,1697.373,906.809
18,306.500,215.000,775.754,229.964
18,330.000,218.000,1033.041,237.409
18,355.000,223.000,1338.090,229.802
18,274.000,230.000,463.484,504.376
18,302.000,230.000,758.754,489.843
18,330.000,235.000,1053.149,498.987
18,355.000,241.000,1349.358,504.668
18,379.000,245.000,1666.211,482.402
18,275.000,246.000,504.859,737.989
18,303.000,245.000,791.098,716.246
18,330.000,248.000,1078.062,706.203
18,356.000,250.000,1379.905,655.793
